created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue May 16 13:58:14 +0000 2023;1658471924941590535;"@tokomenantea Besok mintea bagiin menantea ke saya aamiin aamiin  Wkwkwkwkwkwkwkkwkw";0;0;0;0;in;800413428;1658470132484837376;wyunicorn;https://twitter.com/wyunicorn/status/1658471924941590535
Tue May 16 10:53:42 +0000 2023;1658425483665743872;"naiiisss saatnya menantea interaksi winter dan ryujin minimal fotbar lah, babe😎";0;0;0;0;in;1478186091555348481;1658425483665743872;kiminjeonqg;https://twitter.com/kiminjeonqg/status/1658425483665743872
Tue May 16 04:27:33 +0000 2023;1658328309875482624;"@endmytears @tanyarlfes Menantea mah emang dari sebelumnya problem yang dulu, udah sepi duluan";0;0;0;0;in;1411574194517671938;1657386469026320385;virgogasm;https://twitter.com/virgogasm/status/1658328309875482624
Mon May 15 15:19:31 +0000 2023;1658129993057341440;"Nd brhenti suruh org org coba oreo milkteanua menantea krn enak buanged";0;0;0;0;in;624283476;1658129993057341440;aleenazachary;https://twitter.com/aleenazachary/status/1658129993057341440
Mon May 15 11:30:40 +0000 2023;1658072402662944768;"@snooppyful yuu aku open jastip menantea";0;1;0;0;in;1298934916122517504;1657983611197612034;lelicntkpkbgt;https://twitter.com/lelicntkpkbgt/status/1658072402662944768
Mon May 15 05:54:09 +0000 2023;1657987715219202048;"@ripotterr Aqua menantea mu banh :V";0;0;0;0;in;1278254554593652738;1657981192573169664;JieunGrande_;https://twitter.com/JieunGrande_/status/1657987715219202048
Mon May 15 04:57:09 +0000 2023;1657973367138557952;"@hanwoomin21 Pernah bilang kerja sambil sekolah di menantea";0;0;0;0;in;1398560951100534785;1657055064119451651;onlynna__;https://twitter.com/onlynna__/status/1657973367138557952
Sun May 14 22:51:21 +0000 2023;1657881314413150210;"@endmytears @tanyarlfes @jeremypiven @JeromePolin harus ada revolusi ramah dikantong si menantea tuh😌";0;0;0;0;in;1120950943;1657386469026320385;Ichvari;https://twitter.com/Ichvari/status/1657881314413150210
Sun May 14 16:44:12 +0000 2023;1657788917096275975;"@endmytears @tanyarlfes menantea malah ada yg uda tutup nder, bangkrut";0;0;0;1;in;2654001608;1657386469026320385;cylssy;https://twitter.com/cylssy/status/1657788917096275975
Sun May 14 15:28:06 +0000 2023;1657769766885658624;"@cukupdenganku @ksjhere99 @IQIkk1 @33nbee @tanyarlfes Gw juga ga beli mixue kok. Honestly knp gw blng mahal dan ga worth it krna gw tipe yg ke coffee addict untuk duit 30-50 gw rela keluarin untk kopi. Tapi untk minuman buatan macem menantea dll yg kek gtu agak sayang bgt soalnya bikin penyakit jga. Kecuali klo itu teh nya emng asli";0;0;0;0;in;410691232;1657386469026320385;Ny_leedonghae_;https://twitter.com/Ny_leedonghae_/status/1657769766885658624
Sun May 14 13:58:17 +0000 2023;1657747162103701505;"@clownfile @kittyrockjun /duduk manis menantea🫢";0;1;0;0;in;1189286177297166336;1657639316426993664;ybkzia;https://twitter.com/ybkzia/status/1657747162103701505
Sun May 14 12:08:35 +0000 2023;1657719556880887811;"siapa yang suka menantea? https://t.co/Y3mrxq3HHT";0;1;0;2;in;1329392022520692739;1657719556880887811;hihyune_;https://twitter.com/hihyune_/status/1657719556880887811
Sun May 14 11:55:32 +0000 2023;1657716271633539072;"@jakeshimxx @kkyuw0n @jungwonoona @jakesimol Parahhh bawa bawa menantea";0;1;0;0;in;1340691910935998464;1657695001722384384;sungj4ke;https://twitter.com/sungj4ke/status/1657716271633539072
Sun May 14 11:53:16 +0000 2023;1657715702109995009;"@kenjagung integral bukannya menu minuman di menantea??";0;1;0;0;in;1556172740440510464;1657708445083262976;addicttohee;https://twitter.com/addicttohee/status/1657715702109995009
Sun May 14 10:44:46 +0000 2023;1657698461977034752;"@tanyakanrl sini nder, aku blm prnh beli payakumbuah ama menantea hwhw";0;1;0;0;in;1430085145839558661;1657606665074786311;MarcooPollooo;https://twitter.com/MarcooPollooo/status/1657698461977034752
Sun May 14 10:25:46 +0000 2023;1657693682034941952;"@endmytears @tanyarlfes Gimana gak sepi, menantea mahal bgt njir";0;0;0;1;in;1049941055280316416;1657386469026320385;thelittlename;https://twitter.com/thelittlename/status/1657693682034941952
Sun May 14 09:56:34 +0000 2023;1657686332377006080;"@endmytears @tanyarlfes menantea di smg malah udh pada tutup semua wkwkwk";0;0;0;0;in;1207541514793934848;1657386469026320385;sukabgtcokelat;https://twitter.com/sukabgtcokelat/status/1657686332377006080
Sun May 14 09:32:42 +0000 2023;1657680325202579456;"@dear_xavanna 🥺🥺🥺 krn lelah menantea";0;0;0;0;in;1323467334443393024;1657676461233541126;fastwinz;https://twitter.com/fastwinz/status/1657680325202579456
Sun May 14 09:15:52 +0000 2023;1657676087751766017;"@endmytears @tanyarlfes wlopun oot tapi esteh, menantea sepi poll emg gw sering lewat esteh deket kost gapernah ada yg beli";0;0;0;0;in;1376174285832605702;1657386469026320385;whoopsowy;https://twitter.com/whoopsowy/status/1657676087751766017
Sun May 14 08:02:09 +0000 2023;1657657537729290241;"@tanyakanrl Semuanya belum kecuali menantea";0;1;0;0;in;973524974806773760;1657606665074786311;ssblakrna;https://twitter.com/ssblakrna/status/1657657537729290241
Sun May 14 07:47:27 +0000 2023;1657653838638379008;"menantea mah sepi dimana2 wkwkwkwkwkw";0;0;0;0;in;1261713284270395394;1657653838638379008;cakwepeneleh;https://twitter.com/cakwepeneleh/status/1657653838638379008
Sun May 14 06:44:47 +0000 2023;1657638068546068480;"voc gofood yang bisa menantea dong #zonauang";0;3;0;0;in;1096044006990000129;1657638068546068480;gisevles;https://twitter.com/gisevles/status/1657638068546068480
Sun May 14 05:29:17 +0000 2023;1657619067484921859;"@endmytears @tanyarlfes aku beli menantea tim promo saja😔";0;0;0;0;in;1316739098242027520;1657386469026320385;itzkeyziaa;https://twitter.com/itzkeyziaa/status/1657619067484921859
Sun May 14 04:56:43 +0000 2023;1657610873010278400;"@endmytears @tanyarlfes Belum pernah beli menantea sih. Tp di dom ku tiap aku lewat emg sepi. Terus iseng cek harga di gr*bfood agak pricey sih";0;0;0;1;in;126236350;1657386469026320385;biasnyasiwon;https://twitter.com/biasnyasiwon/status/1657610873010278400
Sun May 14 04:46:37 +0000 2023;1657608332474208257;"@tanyakanrl kalau pernah nya cuman menantea masih boleh isi gak nder?";0;1;0;0;in;1462277358006595588;1657606665074786311;kunlaluv;https://twitter.com/kunlaluv/status/1657608332474208257
